id,slug,title,column,old_value,new_value
"14","green-passage-scheme-technical-education-odisha","Green Passage Scheme - Technical Education (Odisha)","deadline","Check Portal",""
"16","gopabandhu-sikhya-sahayata-yojana-odisha","Gopabandhu Sikhya Sahayata Yojana (Odisha)","always_open","0","1"
"16","gopabandhu-sikhya-sahayata-yojana-odisha","Gopabandhu Sikhya Sahayata Yojana (Odisha)","deadline_description","","This is a rolling scholarship. Applications are accepted on a continuous/year-round basis."
"16","gopabandhu-sikhya-sahayata-yojana-odisha","Gopabandhu Sikhya Sahayata Yojana (Odisha)","deadline","Open Now",""
"19","videsh-siksha-bruti-foreign-education-scholarship-odisha","Videsh Siksha Bruti - Foreign Education Scholarship (Odisha)","always_open","0","1"
"19","videsh-siksha-bruti-foreign-education-scholarship-odisha","Videsh Siksha Bruti - Foreign Education Scholarship (Odisha)","deadline_description","","This is a rolling scholarship. Applications are accepted on a continuous/year-round basis."
"19","videsh-siksha-bruti-foreign-education-scholarship-odisha","Videsh Siksha Bruti - Foreign Education Scholarship (Odisha)","deadline","Open Now",""
"junior-merit-scholarship","junior-merit-scholarship","Junior Merit Scholarship","deadline","Not specified",""
"post-matric-scholarship-to-sbc-students","post-matric-scholarship-to-sbc-students","Post-Matric Scholarship to SBC Students","deadline","Not specified",""
"central-sector-scholarship-kerala-applicants-via-dce","central-sector-scholarship-kerala-applicants-via-dce","Central Sector Scholarship (Kerala applicants via DCE)","deadline","Not specified",""
"blindph-scholarship","blind-ph-scholarship","Blind/PH Scholarship","deadline","Not specified",""
"minority-welfare-scholarship-pre-matric","minority-welfare-scholarship-pre-matric","Minority Welfare Scholarship (Pre-Matric)","deadline","Not specified",""
"pragyan-bharati-scheme","pragyan-bharati-scheme","Pragyan Bharati Scheme","deadline","Not specified",""
"uttarakhand-state-merit-scholarship","uttarakhand-state-merit-scholarship","Uttarakhand State Merit Scholarship","deadline","Not specified",""
"irdp-scholarship","irdp-scholarship","IRDP Scholarship","deadline","Not specified",""
"goa-dayanand-social-security-scheme-students","goa-dayanand-social-security-scheme-students","Goa Dayanand Social Security Scheme (Students)","deadline","Not specified",""
"manipur-state-merit-scholarship","manipur-state-merit-scholarship","Manipur State Merit Scholarship","deadline","Not specified",""
"meghalaya-merit-scholarship","meghalaya-merit-scholarship","Meghalaya Merit Scholarship","deadline","Not specified",""
"tripura-state-merit-scholarship","tripura-state-merit-scholarship","Tripura State Merit Scholarship","deadline","Not specified",""
"sikkim-state-merit-scholarship","sikkim-state-merit-scholarship","Sikkim State Merit Scholarship","deadline","Not specified",""
"arunachal-pradesh-state-merit-scholarship","arunachal-pradesh-state-merit-scholarship","Arunachal Pradesh State Merit Scholarship","deadline","Not specified",""
"ladakh-ut-merit-scholarship","ladakh-ut-merit-scholarship","Ladakh UT Merit Scholarship","deadline","Not specified",""
"andaman-nicobar-administration-merit-scholarship","andaman-nicobar-administration-merit-scholarship","Andaman & Nicobar Administration Merit Scholarship","deadline","Not specified",""
"infosys-foundation-fellowship-select-programs","infosys-foundation-fellowship-select-programs","Infosys Foundation Fellowship (select programs)","deadline","Not specified",""
"colgate-keep-india-smiling-scholarship","colgate-keep-india-smiling-scholarship","Colgate Keep India Smiling Scholarship","deadline","Not specified",""
"siemens-scholarship-program","siemens-scholarship-program","Siemens Scholarship Program","deadline","Not specified",""
"mahindra-all-india-talent-scholarship","mahindra-all-india-talent-scholarship","Mahindra All India Talent Scholarship","deadline","Not specified",""
"op-jindal-engineering-management-scholarship","op-jindal-engineering-management-scholarship","OP Jindal Engineering & Management Scholarship","deadline","Not specified",""
"godrej-scholarship-csr-initiatives","godrej-scholarship-csr-initiatives","Godrej Scholarship (CSR Initiatives)","deadline","Not specified",""
"bosch-csr-scholarship","bosch-csr-scholarship","Bosch CSR Scholarship","deadline","Not specified",""
"acc-vidyasaarathi-scholarship","acc-vidyasaarathi-scholarship","ACC Vidyasaarathi Scholarship","deadline","Not specified",""
"teach-for-india-fellowship","teach-for-india-fellowship","Teach For India Fellowship","deadline","Not specified",""
"young-india-fellowship-ashoka-university","young-india-fellowship-ashoka-university","Young India Fellowship (Ashoka University)","deadline","Open Now",""
"acumen-india-fellowship","acumen-india-fellowship","Acumen India Fellowship","deadline","Not specified",""
"lamp-fellowship","lamp-fellowship","LAMP Fellowship","deadline","Not specified",""
"up-pre-matric-scholarship-general-sc-st","up-pre-matric-scholarship-general-sc-st","UP Pre-Matric Scholarship (General/SC/ST)","deadline","Open Now",""
"up-pre-matric-scholarship-obc","up-pre-matric-scholarship-obc","UP Pre-Matric Scholarship (OBC)","deadline","Open Now",""
"up-pre-matric-scholarship-minority","up-pre-matric-scholarship-minority","UP Pre-Matric Scholarship (Minority)","deadline","Open Now",""
"up-post-matric-intermediate-scholarship-general-sc-st","up-post-matric-intermediate-scholarship-general-sc-st","UP Post-Matric Intermediate Scholarship (General/SC/ST)","deadline","Open Now",""
"up-post-matric-intermediate-scholarship-obc","up-post-matric-intermediate-scholarship-obc","UP Post-Matric Intermediate Scholarship (OBC)","deadline","Open Now",""
