ID,Slug,Title,Provider Type,Status,Is Legacy,Issues Count,Issues List
18109425-49f6-4316-bed9-c7561549c400,macquarie-university-vice-chancellors-international-scholarships,"Macquarie University Vice-Chancellor's International Scholarships",University,Active,No,1,"Missing Min Amount"
328c03b0-3a1d-4bb8-988b-5dc50f1cf958,uts-vice-chancellors-international-undergraduate-scholarships,"UTS Vice-Chancellor's International Undergraduate Scholarships",University,Active,No,1,"Missing Min Amount"
d7a83496-60bc-4885-8688-73e5acabe742,justus-louise-van-effen-scholarships,"Justus & Louise van Effen Scholarships",University,Active,No,1,"Missing Min Amount"
ae20613b-f02b-43de-8d38-6130fe7cbd99,radboud-scholarship-programme,"Radboud Scholarship Programme",University,Active,No,1,"Missing Min Amount"
c2fe63d9-b7ab-4f15-ba5f-7f8b197943f6,erik-bleumink-fund-scholarships,"Erik Bleumink Fund Scholarships",University,Active,No,1,"Missing Min Amount"
1eda8045-f34d-4c13-8158-3f7cf328cb40,swedish-institute-scholarships-for-global-professionals,"Swedish Institute Scholarships for Global Professionals",Study Abroad,Active,No,1,"Missing Min Amount"
6c76d84b-8f8e-4536-a620-c6218006b43b,padua-international-excellence-scholarships,"Padua International Excellence Scholarships",University,Active,No,1,"Missing Min Amount"
02367342-459f-4c08-be39-e0b017474dad,eth-zurich-excellence-scholarship,"ETH Zurich Excellence Scholarship",University,Active,No,1,"Missing Min Amount"
20ec0b66-b0ec-47aa-b423-36483b0773c9,lee-kuan-yew-scholarship,"Lee Kuan Yew Scholarship",Study Abroad,Active,No,1,"Missing Min Amount"
85a2ce62-8a28-4498-ad7b-a4787745c2d0,adb-japan-scholarship-program,"ADB-Japan Scholarship Program",Study Abroad,Active,No,1,"Missing Min Amount"
