Top pages,Clicks,Impressions,CTR,Position
https://www.indiascholarships.in/scholarships/aikyashree-post-matric-scholarship-for-minorities-west-bengal,59,3975,1.48%,6.27
https://www.indiascholarships.in/scholarships/andhra-pradesh-postmatric-sc,58,6790,0.85%,7.54
https://www.indiascholarships.in/scholarships/aikyashree-scholarship-west-bengal-minority/apply-online,58,751,7.72%,5
https://www.indiascholarships.in/scholarships-for/sc-st-obc-general,57,5738,0.99%,6.89
https://www.indiascholarships.in/scholarships/green-passage-scheme-technical-education-odisha,55,11613,0.47%,5.03
https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship/apply-online,55,2826,1.95%,7.6
https://www.indiascholarships.in/scholarships/maharashtra-goi-post-matric-scholarship-for-sc,52,6980,0.74%,7.1
https://www.indiascholarships.in/scholarships-in/assam,52,5406,0.96%,7.83
https://www.indiascholarships.in/scholarships-in/karnataka,51,5462,0.93%,7.67
https://www.indiascholarships.in/scholarships-for/students-with-disabilities,51,2761,1.85%,7.49
https://www.indiascholarships.in/scholarships/gujarat-post-matric-scholarship-for-scst,50,6218,0.8%,6.27
https://www.indiascholarships.in/scholarships/haryana-post-matric-scholarship-for-sc-students,49,9989,0.49%,7.02
https://www.indiascholarships.in/scholarships/sudakshya-for-girls-child-scholarship-odisha,49,6610,0.74%,5.28
https://www.indiascholarships.in/scholarships/maharashtra-ebc-postmatric,48,12821,0.37%,6.34
https://www.indiascholarships.in/scholarships/haryana-post-matric-scholarship-for-bcobc-students,47,8150,0.58%,6.55
https://www.indiascholarships.in/scholarships/sikshashree-scholarship-scheme-west-bengal/apply-online,46,1511,3.04%,6.34
https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship/apply-online,46,672,6.85%,4.57
https://www.indiascholarships.in/scholarships/vidyasaarathi-scholarship-csr-programs,45,13230,0.34%,7
https://www.indiascholarships.in/scholarships/maharashtra-postmatric-obc,45,10928,0.41%,7.02
https://www.indiascholarships.in/scholarships-in/delhi,45,5161,0.87%,6.33
https://www.indiascholarships.in/scholarships-for/general-brahmin,45,1824,2.47%,5.87
https://www.indiascholarships.in/scholarships/kc-mahindra-scholarship-for-post-graduate-studies-abroad,44,15132,0.29%,6.56
https://www.indiascholarships.in/scholarships/bharti-airtel-scholarship-program/apply-online,44,13533,0.33%,7.53
https://www.indiascholarships.in/scholarships/kanyashree-prakalpa-scheme-west-bengal/apply-online,43,3801,1.13%,7.68
https://www.indiascholarships.in/scholarships/talliki-vandanam-scheme-ap/apply-online,43,2104,2.04%,7.55
https://www.indiascholarships.in/scholarships/ssp-pre-matric-post-matric-scholarship-karnataka,42,15440,0.27%,7.24
https://www.indiascholarships.in/scholarships-for/category-3a,42,6035,0.7%,7.74
https://www.indiascholarships.in/scholarships/talliki-vandanam-scheme-ap,42,4061,1.03%,7.31
https://www.indiascholarships.in/scholarships/mukhymantri-shiksha-protsahan-yojana-jharkhand,42,3397,1.24%,6.52
https://www.indiascholarships.in/scholarships/jagananna-vidya-deevena-ap,42,3118,1.35%,3.7
https://www.indiascholarships.in/scholarships/ishan-uday-special-scholarship-for-north-eastern-region,41,17257,0.24%,8.93
https://www.indiascholarships.in/scholarships/ssp-pre-matric-post-matric-scholarship-karnataka/apply-online,41,16382,0.25%,4.97
https://www.indiascholarships.in/scholarships/national-fellowship-scholarship-for-higher-education-of-st-students,41,7137,0.57%,6.43
https://www.indiascholarships.in/scholarships/lila-poonawalla-foundation-scholarship,41,3665,1.12%,8.25
https://www.indiascholarships.in/scholarships/kotak-kanya-scholarship,41,3656,1.12%,6.18
https://www.indiascholarships.in/scholarships/pre-matric-minorities-karnataka,40,3171,1.26%,5.61
https://www.indiascholarships.in/scholarships-level/diploma,40,3065,1.31%,8.11
https://www.indiascholarships.in/scholarships-for/bpl,40,3057,1.31%,6.68
https://www.indiascholarships.in/scholarships/kanyashree-prakalpa-scheme-west-bengal,39,3089,1.26%,5.18
https://www.indiascholarships.in/scholarships/reliance-foundation-postgraduate-scholarship,38,3879,0.98%,5.48
https://www.indiascholarships.in/scholarships/pm-scholarship-scheme-railways,37,5362,0.69%,8.07
https://www.indiascholarships.in/scholarships/kotak-shiksha-nidhi-scholarship,37,3234,1.14%,6.04
https://www.indiascholarships.in/scholarships/telangana-minority-welfare,37,3120,1.19%,8.45
